PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,7day,28day,56day
427,183,0,1253,1710,254,7.3,37,0,0,29.6819418,40.4032936,
427,183,0,1253,1710,259,9,0,12.2,0,30.62135285,41.4202707,
427,183,0,1273,1710,259,9,0,12.2,0,31.1815521,39.48399227,
427,183,0,1273,1710,300,9,0,12.2,0,31.2849735,39.82298463,
428,0,183,1299,1550,308,5.3,24.4,0,0,24.74726357,37.72309245,
428,0,183,1340,1550,225,1,4,0,0,33.1982694,45.01129153,
428,0,183,1340,1550,308,1.5,0,4,0,31.44700036,45.46864395,
428,0,183,1420,775,290,0.2,0,36.7,0,26.6137736,44.0230426,
428,0,188,1290,1800,234,1,0,3,0,31.5090532,46.1259444,
428,183,0,1254,1475,308,6.1,24.4,0,0,21.9942844,31.47990086,35.46304817
429,231,0,1155,1900,250,13.2,39.5,0,0,32.58110083,47.95578129,55.58235857
430,0,140,992,2300,230,2.3,0,57,0,40.99379305,53.4648703,
430,0,140,992,2300,230,11.5,0,70,0,41.24962539,48.54313837,
430,0,230,1200,1800,292,6,25,0,0,27.70699392,38.492679,42.18428252
435,190,0,1200,1780,235,6,12,44,0,36.50974307,47.68463385,55.3148516
435,190,0,1280,1800,235,15,12,44,320,39.56525194,53.08735375,62.80219155
436,146,0,1156,1952,216,9.5,0,40,0,36.75034761,47.3670012,52.68992008
440,110,0,1208,2108,220,4.4,11,11,0,21.029018,25.3727168,
440,240,0,1010,1900,286,0,20.4,0,0,22.67039033,33.50311319,39.2311844
441,189,0,1310,1650,230,17,28,38.5,384,34.68388739,46.88590017,51.04931376
441,189,0,1400,1574,219,13,28,38.5,384,37.07082627,47.82841975,54.14455028
441,189,0,1400,1574,223,17,24,34.7,384,30.6989189,39.21969313,44.126464
445,195,0,1000,2121,237,6.4,0,89,0,30.12625605,40.04774292,47.42220157
448,112,0,1334,1710,258,7,0,0,0,18.66947791,27.72099094,27.73991773
448,112,0,1334,1710,258,7,0,5.6,0,20.8221752,28.03869067,
450,0,150,1096,2118,238,6,0,84,0,34.2669572,44.20230636,
450,0,150,1237,1791,275,4.5,14,0,0,27.24533362,43.15568179,
450,0,150,1295,1800,275,4.2,14,0,0,29.91833357,38.82611725,
450,0,300,1750,1000,292,6,0,30,0,29.22450099,44.14038611,
450,50,150,1550,1490,293,0,0,18,0,32.2847137,50.45527912,57.51091685
450,125,0,1358,1650,266,5.8,31.9,0,0,23.2008674,31.4401056,
450,130,0,1420,1650,190,1.5,17.4,23.2,0,32.17834941,39.80156909,44.45741248
450,130,0,1420,1650,267,1.5,17.4,23.2,0,27.35285357,37.65228436,43.27533739
450,130,0,1560,1500,267,0.3,11.6,14.5,0,34.6806428,39.86320407,45.80090571
450,150,0,1270,1740,270,5,0,12,0,26.45289587,36.70885137,
450,150,0,1270,1740,270,11,0,12,0,24.14544952,33.18677813,
450,150,0,1475,1400,362,0,24,0,0,27.4756186,36.56521053,
450,150,0,1540,1575,276,0,0,36,0,29.00108425,38.8002619,
450,190,0,1008,2000,248,13,23,70,512,39.95896462,47.85528584,
450,190,0,1008,2000,250,13,0,70,0,19.8569088,36.34687647,
450,190,0,1010,2000,243,12.4,0,42,512,21.9253368,34.45950599,34.83535449
450,193,0,1070,2000,239,5.1,25.7,0,0,24.67070487,37.72780972,42.2676367
450,193,0,1420,1580,251,8.8,0,71.2,0,23.8903434,39.34331131,40.97785693
451,0,113,1400,1775,242,4.8,0,13.1,0,21.76622695,35.31102086,
452,0,300,1190,1550,266,1.9,0,37.6,0,41.47463323,54.56495385,
455,0,195,1240,1610,225,1.5,0,5,0,36.4732804,48.69998813,
455,0,195,1360,1750,260,6.5,0,91,0,34.4738,45.6088374,
455,195,0,1085,2025,220,9,0,50,0,24.51805384,40.0585556,44.32181553
455,195,0,1150,1820,200,3.9,0,40,512,43.52029968,56.22756952,62.1045507
455,195,0,1185,1850,245,9,0,50,0,29.9060215,46.53963,
455,195,0,1240,1850,234,4,0,34.1,0,31.29437545,39.32311453,46.56261253
455,195,0,1250,1700,239,12,0,45,384,34.95006881,48.08036993,56.505153
455,195,0,1250,1700,272,11,0,16,0,26.85336651,36.8344345,
455,195,0,1250,1700,273,5,0,50,0,28.53471766,40.19143845,47.31622669
455,195,0,1250,1700,273,6,20,50,0,30.94365167,43.97544018,50.76437687
